1_Q79_4,2_Q79_4,3_Q79_4,4_Q79_4,5_Q79_4,6_Q79_4,7_Q79_4,8_Q79_4,9_Q79_4,10_Q79_4,11_Q79_4,12_Q79_4,13_Q79_4,14_Q79_4,15_Q79_4,16_Q79_4,17_Q79_4,18_Q79_4,19_Q79_4,20_Q79_4,21_Q79_4,22_Q79_4,23_Q79_4,24_Q79_4,25_Q79_4,26_Q79_4,27_Q79_4,28_Q79_4,29_Q79_4,30_Q79_4,31_Q79_4,32_Q79_4,33_Q79_4,34_Q79_4,35_Q79_4,36_Q79_4,37_Q79_4,38_Q79_4,39_Q79_4,40_Q79_4,41_Q79_4,42_Q79_4,43_Q79_4,44_Q79_4,45_Q79_4,46_Q79_4,47_Q79_4,48_Q79_4,49_Q79_4,50_Q79_4,51_Q79_4,52_Q79_4,53_Q79_4,54_Q79_4,55_Q79_4,56_Q79_4,57_Q79_4,58_Q79_4,59_Q79_4,60_Q79_4,61_Q79_4,62_Q79_4,63_Q79_4,64_Q79_4,65_Q79_4,66_Q79_4,67_Q79_4,68_Q79_4,69_Q79_4,70_Q79_4,71_Q79_4,72_Q79_4,73_Q79_4,74_Q79_4,75_Q79_4,76_Q79_4,77_Q79_4,78_Q79_4,79_Q79_4,80_Q79_4,81_Q79_4,82_Q79_4,83_Q79_4,84_Q79_4,85_Q79_4,86_Q79_4,87_Q79_4,88_Q79_4,89_Q79_4,90_Q79_4,91_Q79_4,92_Q79_4,93_Q79_4,94_Q79_4,95_Q79_4,96_Q79_4,97_Q79_4,98_Q79_4,99_Q79_4,100_Q79_4,101_Q79_4,102_Q79_4,103_Q79_4,104_Q79_4,105_Q79_4,106_Q79_4,107_Q79_4,108_Q79_4,109_Q79_4,110_Q79_4,111_Q79_4,112_Q79_4,113_Q79_4,114_Q79_4,115_Q79_4,116_Q79_4,117_Q79_4,118_Q79_4,119_Q79_4,120_Q79_4,121_Q79_4,122_Q79_4,123_Q79_4,124_Q79_4,125_Q79_4,126_Q79_4,127_Q79_4,128_Q79_4,129_Q79_4,130_Q79_4,131_Q79_4,132_Q79_4,133_Q79_4,134_Q79_4,135_Q79_4,136_Q79_4,137_Q79_4,138_Q79_4,139_Q79_4,140_Q79_4,141_Q79_4,142_Q79_4,143_Q79_4,144_Q79_4,145_Q79_4,146_Q79_4,147_Q79_4,148_Q79_4,149_Q79_4,150_Q79_4,151_Q79_4,152_Q79_4,153_Q79_4,154_Q79_4,155_Q79_4,156_Q79_4,157_Q79_4,158_Q79_4,159_Q79_4,160_Q79_4,161_Q79_4,162_Q79_4,163_Q79_4,164_Q79_4,165_Q79_4,166_Q79_4,167_Q79_4,168_Q79_4,169_Q79_4,170_Q79_4,171_Q79_4,172_Q79_4,173_Q79_4,174_Q79_4,175_Q79_4,176_Q79_4,177_Q79_4,178_Q79_4,179_Q79_4,180_Q79_4,181_Q79_4,182_Q79_4,183_Q79_4,184_Q79_4,185_Q79_4,186_Q79_4,187_Q79_4,188_Q79_4,189_Q79_4,190_Q79_4,191_Q79_4,192_Q79_4,193_Q79_4,194_Q79_4,195_Q79_4,196_Q79_4,197_Q79_4,198_Q79_4,199_Q79_4,200_Q79_4,201_Q79_4,202_Q79_4,203_Q79_4,204_Q79_4,205_Q79_4,206_Q79_4,207_Q79_4,208_Q79_4,209_Q79_4,210_Q79_4,211_Q79_4,212_Q79_4,213_Q79_4,214_Q79_4,215_Q79_4,216_Q79_4,217_Q79_4,218_Q79_4,219_Q79_4,220_Q79_4,221_Q79_4,222_Q79_4,223_Q79_4,224_Q79_4,225_Q79_4,226_Q79_4,227_Q79_4,228_Q79_4,229_Q79_4,230_Q79_4,231_Q79_4,232_Q79_4,233_Q79_4,234_Q79_4,235_Q79_4,236_Q79_4,237_Q79_4,238_Q79_4,239_Q79_4,240_Q79_4,241_Q79_4,242_Q79_4,243_Q79_4,244_Q79_4,245_Q79_4,246_Q79_4,247_Q79_4,248_Q79_4,249_Q79_4,250_Q79_4,251_Q79_4,252_Q79_4,253_Q79_4,254_Q79_4,255_Q79_4,256_Q79_4,257_Q79_4,258_Q79_4,259_Q79_4,260_Q79_4,261_Q79_4,262_Q79_4,263_Q79_4,264_Q79_4,265_Q79_4,266_Q79_4,267_Q79_4,268_Q79_4,269_Q79_4,270_Q79_4,271_Q79_4,272_Q79_4,273_Q79_4,274_Q79_4,275_Q79_4,276_Q79_4,277_Q79_4,278_Q79_4,279_Q79_4,280_Q79_4,281_Q79_4,282_Q79_4,283_Q79_4,284_Q79_4,285_Q79_4,286_Q79_4,287_Q79_4,288_Q79_4,289_Q79_4,290_Q79_4,291_Q79_4,292_Q79_4,293_Q79_4,294_Q79_4,295_Q79_4,296_Q79_4,297_Q79_4,298_Q79_4,299_Q79_4,300_Q79_4,301_Q79_4,302_Q79_4,303_Q79_4,304_Q79_4,305_Q79_4,306_Q79_4,307_Q79_4,308_Q79_4,309_Q79_4,310_Q79_4,311_Q79_4,312_Q79_4,313_Q79_4,314_Q79_4,315_Q79_4,316_Q79_4,317_Q79_4,318_Q79_4,319_Q79_4,320_Q79_4,321_Q79_4,322_Q79_4,323_Q79_4,324_Q79_4,325_Q79_4,326_Q79_4,327_Q79_4,328_Q79_4,329_Q79_4,330_Q79_4,331_Q79_4,332_Q79_4,333_Q79_4,334_Q79_4,335_Q79_4,336_Q79_4,337_Q79_4,338_Q79_4,339_Q79_4,340_Q79_4,341_Q79_4,342_Q79_4,343_Q79_4,344_Q79_4,345_Q79_4,346_Q79_4,347_Q79_4,348_Q79_4,349_Q79_4,350_Q79_4,351_Q79_4,352_Q79_4,353_Q79_4,354_Q79_4,355_Q79_4,356_Q79_4,357_Q79_4,358_Q79_4,359_Q79_4,360_Q79_4,361_Q79_4,362_Q79_4,363_Q79_4,364_Q79_4,365_Q79_4,366_Q79_4,367_Q79_4,368_Q79_4,369_Q79_4,370_Q79_4,371_Q79_4,372_Q79_4,373_Q79_4,374_Q79_4,375_Q79_4,376_Q79_4,377_Q79_4,378_Q79_4,379_Q79_4,380_Q79_4
,,,,,,85,,,,,,,,,,,,,0,0,,,,,,,,,50,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,20,,,0,10,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,10,25,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,0,,,,,,,,,,,10,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,0,100,,,10,,,,,0,,,,,,,,,,,,75,,,,,,0,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,5,,,,,0,,,,,,10,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,5,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,5,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,10,,,,10,,,,,,,,,,,,,,,,,,,74,,,,,,,0,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,0,10,5,,35,,,,,,,65,,,,,,90,,,,,,,,,,0,,,0,,0,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,5,,,,,,,,,20,,,,
,,,,,17,,,,,,0,,,,,,,,,,,,,,,,,,,,25,,,,20,,,,,,,,,,,1,17,,,,,,,,,,,,20,,,,,,,,23,,,,,,,,,,,,,,,,,,,17,,,10,,,19,,,4,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,50,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,13,,,,,13,,,,,,,,1,,,,,,,,,,,,,,22,,,,,,,,,,17,,,,,,,21,,,,,,,,,,,,,,,,,,,,17,,,,,,,15,,,,,,,,,,,,,,,17,,,,,,,16,,,24,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,53,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,59,,27,,,61,18,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,53,,18,,,,61,,,,,,,,,,,,100,,,32,,,,,,,,,,,,,,,,,,,,,,,36,42,,,,,,22,,,,,,,,,,,,,,,,,,,,28,44,,,,,,,,,,27,,,,,,,69,,12,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,27,,,,
,,,,,,,,,,,,23,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,85,,,60,,,,,,,,4,,,16,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,7,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,9,,,,,,,,,1,,17,,,,,,,,,,32,,76,,29,,,,,,,16,,,,16,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,64,,,,,,,,,,,,,,,,55,25,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,6,,,,,,,,,8,5,,,,,,,,,,,,,,,,,,,,69,,
,,,,,,71,,26,,,,,,,,,,,,,,,72,,,,,,,26,71,,,,,,,,,,,,,,44,,,,,,,,,,,32,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,45,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,25,,,,,,,,,9,,23,,,,,,,,,,57,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,30,,,,,,,,,,,73,,,,,,,,,,,,,,,56,,,,,,,,,46,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,29,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,76,,,,,,,,,,,,,,35,,,,,,,,,,,35,,,,,,,,,71,,
,,,,,,,,,70,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,44,,,,,,,,,,,62,,,,,,35,,,,,,17,,,,,,18,52,,,,,,,,,,,,,,,35,,,,,,,,,,,,,55,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,16,,60,,,,,,,28,,,,,,,,,,,,,35,,,,,,31,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,16,,,,,,,,,,,,,25,55,41,,,,,,,,,,6,,,,,,,,35,,,,64,52,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,
,,,,,,,,,,,,,,,75,,,,,,,,,,,,,94,,,,,7,,,,,,,,,,98,,,12,,,,,14,,,,,,,,,,5,,,,,,,,,,,,,,,,,24,,,,,,,,,,,91,,,,,,,,,,,42,,,,,,,,,,63,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,4,,,,,12,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,20,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,0,,,,,,,,,,,10,,,,,,24,,,,,,,,0,,89,2,,,,,,,,,,,,,,,,,,3,,,,,,6,,,,,,,,,,,
,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,88,48,,46,,,,,,,,,48,,,83,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,40,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,55,,,,,,,,58,,,,,,,,,88,,,,,,,,,,,,83,,,,,,,,,,,,,62,,,,,56,,,,,,,,,,,,,,,17,54,,,80,,,,,,,75,70,,,37,,,,,,,,,,,,,,,,,,,,,,,,,47,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,
,,,43,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,41,73,,,,,,,,,,,,,,45,31,,,,,,,75,,,,,,,,,,,,,25,,,41,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,83,,,,39,,,63,,,,,,,,41,,,46,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,50,,,41,70,,,39,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,
,,,,,,,,,,,37,29,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,58,,,,37,,,,,,,,,,,,,,,,78,,,69,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,95,,,,,,,,,25,,,,,,,,,,,,,,7,,,,,96,,,,,,,,,,,,,,,,,,19,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,77,,63,63,,,,,,,,,,,34,,,,,,,,16,,,,,,,24,16,,63,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,12,,,,21,,,,,73,,,,,,,,,,,,,,,,,,,84,,,,,,,,,15,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,24,,,,,,,,,,,,60,,,,,,,,,,27,,9,,,,,13,,,,,,,,,,,20,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,78,,,,,,6,,,,,19,,,24,,,,60,,,,,,,,,14,,,99,,,,,,,,,,,,,,,,,,11,,,,,28,,,,,,,
,,,,,40,,,,,,,,,,,37,,,,,97,,,,,,,,,,,,,10,,,,,,,,21,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,43,,,,,,,11,,,64,,,,,,,,,,,,,,,,30,,,,6,,10,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,2,,5,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,23,,,,,,,,,,88,,,,,,,5,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,24,,,79,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,2,2,,7,,,,,
,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,44,,,,,,,10,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,33,,,,,,,,,31,,,,,,,,58,,,,18,,,,,60,0,,,,,,,,,,,,0,,,,,,,0,18,,,0,,,,,,,,,,36,,,,,,,,,8,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,0,,,,,,,,,,39,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,89,,,42,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,19,,,,,,11,,,,7,11,,,,,,6,,,13,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,15,,,,70,,,4,,,,,,,21,,,,,35,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,8,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,10,,,,,32,,,,,,,,,,,,,,,,,,,,,8,7,,4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,52,,62,,,,,,34,,,23,,,,,,,,,,,,,,8,,,,,,47,,,,,,,,44,,,,,,,,,,29,,,,,,,,,,,,,,41,,,,,,,13,,,,,,,,,10,,68,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,19,,,,,,,9,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,19,64,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,54,,,,,,,,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,20,,,,,,,,,,,24,,,,,,,,30,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,31,,,,,,,,,,,,27,,,,,58,,,,22,,,,,,,,,,,,,,,57,,,,,12,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,33,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,2,,,,,,,,,,,,75,,,,,27,,,,,37,,65,41,,68,,,,,,,,,,,,,,,29,,,,39,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,58,,,23,,,,88,,63,,,,,,,,,,,,35,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,47,,,,,16,38,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,45,,,77,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,33,,,71,,,,,,,,,23,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,42,,,,,,,,,43,,,,43,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,35,,42,,42,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,61,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,31,,,,,,,,,,,,,,43,50,,,,,,,,,,,,,,,,73,,,
,5,,,,,,,,,21,,,,,,,,,,,,,,,,,20,,13,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,66,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,9,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,5,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,5,,,,,,,,,,,,,,,,,,,,,17,,,,,,,37,,,,,,,,,,,,,,,,,,,2,33,,,,,36,,,,,,,,,,,,29,11,,,,,,,,,,,,,,,36,,,,,,43,,,,,,8,,,,,,,,,,,,,78,,,,,,,,,,,95,,,,,,,,,,,3,,,,,,,,,,,,,,
,15,,,,,36,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,30,,35,,,,,,,,,29,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,15,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,65,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,19,21,,,,,,,,,,,,,,,7,,,,15,,,,,,,,,,,,,,60,,,,,,,,,85,,,,,3,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,68,9,,,,,,,65,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,24,,,,,,,,,21,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,38,,64,,,,,,60,,,,,,70,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,39,,,,70,,,,,,,,,,,,,,,,,,,62,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,21,18,,64,64,,,34,,,,,,,,,,,,,,,,,,,,,,,33,,60,,,,,63,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,86,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,18,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,19,,,,,,,,,,,,
,,,,,,,51,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,89,,,,16,60,,,,,51,,,,,,,,,4,,,,,,,,,,,,,,,,57,,,,,18,,11,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,68,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,12,,,,,,,80,,,,40,,,,13,,,,,,,59,,,,,,,,,,,,,,,,,,,66,,,,,,31,,,,,,,,,,,,,,38,57,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,95,,,,,12,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,34,,,,,,,17,9,,,19,,,26,,,,,,,,,,,,,,,,19,,34,,,36,,,,,,,,,,,,,,,,,,,,34,,39,,,,,,,29,,,20,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,13,28,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,62,,,,,,,,,,,62,,,,,,,,20,,,,,18,,,,,,,,,,,,18,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
,,,,,,,,,,,,72,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,26,,,,,,,,55,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,74,43,,,,,,,,,,,,,58,,,,82,,,,,,,,79,,,6,,,,,,,,,42,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,95,39,,,,,,,,,,,78,,,,,,,,,,,,,,,,,37,6,,,,,,,71,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,22,7,,89,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,,,,,,,,,12,,,,,,,62,,43,,,,,,,,,,,,,,,,,,,,15,32,,,,,83,,84,,,,,,,,,,,,,,,,,,,,,50,,,,17,,,,,,,,,,,,,,,,,,,,,1,,,,90,,,,89,,,,,,,,,,,,4,,,,,,6,,,,,,38,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,31,,,,,64,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,81,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,7,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,7,,,,,22,,,,,,,,,27,,,,,,,,,,,,13,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,3,,,21,,,45,,,,,12,,,,,0,,,,,,,,,,,,,,,,16,,,,,,,,,,,,44,,,,,,,,,,,,,,,4,,14,,,,31,,26,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,5,,,,,,,,,,,,20,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,3,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,
